Glacial.Lake.ID,Latitude,Longitude,Altitude_m,Lake.Area..sq.km.,Ice.Cover....,Temperature_C,Precipitation..mm.year.,Slope_Angle_degrees,Nearby.Glacier..Yes.No.,Seismic.Activity..Yes.No.,Moraine.Dam.Type,Historical.GLO.Events..Yes.No.,Risk.Score
GLO001,31.71460433600978,79.6719930488921,4736,2.893799816473238,17,0.1674950911001165,1050,41,Yes,No,Ice-Cored,Yes,Very High
GLO002,30.493263568492026,80.2479435797552,4848,3.40245012530002,45,1.275767045563736,1238,26,No,No,Ice-Cored,No,Very High
GLO003,29.827612265014157,78.41053097150467,4982,4.285833598680167,30,-2.3403959356983446,1135,44,No,No,Unknown,No,High
GLO004,31.570477001998444,79.43834588696836,5037,2.7611403494385063,42,-6.916009128872982,886,32,Yes,Yes,Rock-Cored,No,High
GLO005,29.80933926350734,79.25472155510688,4754,1.4706105475642095,16,-8.982011834286052,1506,36,Yes,No,Ice-Cored,No,Low
GLO006,29.208625374984702,79.19975297251779,4826,0.5365956235841998,16,-8.192175753831233,1327,36,Yes,Yes,Rock-Cored,No,High
GLO007,30.611519843739813,78.64888860018449,4707,2.855549184507204,33,0.742150218285845,903,40,Yes,No,Ice-Cored,Yes,Medium
GLO008,30.54848463710758,79.89043316709201,4804,3.909920799531042,16,-0.3489811691718092,1170,31,Yes,Yes,Ice-Cored,Yes,High
GLO009,31.981385918794363,79.94314778364001,5068,2.358929411728544,10,-0.4131950421702601,1426,43,No,No,Rock-Cored,No,Low
GLO010,30.392765361047253,80.22275301310718,5192,4.9405476252612015,33,2.4137705924201978,957,45,Yes,Yes,Rock-Cored,No,Low
GLO011,29.76109092261527,80.3412064006577,5060,1.6509713314571433,17,-4.803267989563526,808,46,Yes,Yes,Ice-Cored,No,High
GLO012,31.06633959341851,78.70709406134392,5057,1.5345691204595018,32,-0.2555155572304759,1124,25,No,Yes,Rock-Cored,Yes,Medium
GLO013,29.32041749831839,80.6423425144182,4754,0.5275383249136214,20,-3.081240407823972,1003,33,Yes,No,Rock-Cored,Yes,Very High
GLO014,29.98194494640533,78.89111726395133,4963,0.6621496373843632,48,-3.9222774671929863,904,25,No,Yes,Ice-Cored,Yes,Very High
GLO015,31.23826476217329,79.90574585834277,4790,3.9071395544664487,22,4.123099291967492,1559,34,No,No,Ice-Cored,No,High
GLO016,29.96362163785786,78.12514437296174,5154,1.5012752978140826,16,-9.507191142246215,1410,39,Yes,No,Ice-Cored,No,High
GLO017,30.67952363864863,78.57221045157102,5117,3.2679565210180157,14,-1.0405223083093578,1280,45,No,Yes,Ice-Cored,No,Very High
GLO018,29.534155204426703,79.28458768264497,5144,4.140339983477023,12,2.2489433640601018,1435,39,Yes,Yes,Rock-Cored,No,Medium
GLO019,29.780264769991454,79.71735441526668,4701,2.310536057706029,29,-4.153537448179222,1398,35,Yes,No,Ice-Cored,Yes,Medium
GLO020,31.30907365233872,80.04215731629613,4733,4.0817304160156604,21,1.267301235099449,1086,47,No,Yes,Ice-Cored,Yes,Very High
GLO021,29.6945035561656,80.73807251415177,5149,1.6695052580344012,38,3.5457884105724577,1573,46,No,Yes,Rock-Cored,Yes,Medium
GLO022,29.91911795345996,80.81245820826366,4809,3.7136029255180434,29,3.346305398066299,1557,20,No,Yes,Rock-Cored,No,High
GLO023,30.28465736944032,79.79676556997676,4876,1.1520891905581878,11,-7.372066082837783,1073,29,Yes,Yes,Rock-Cored,Yes,Low
GLO024,30.17445164419549,80.78435187398642,4934,4.629962971009747,34,4.708129382637297,1061,24,Yes,No,Rock-Cored,Yes,Very High
GLO025,30.31546250835399,78.77475132490261,5065,0.934941096203614,16,-4.934995856097003,1294,22,Yes,No,Ice-Cored,No,Low
GLO026,31.15821215706036,79.90090256196135,4705,4.797703924750214,41,-9.803237311196035,1360,25,Yes,No,Rock-Cored,Yes,Very High
GLO027,31.301305444060205,79.35405875385946,4915,2.754383927367374,10,4.607793893700414,1136,27,No,Yes,Rock-Cored,Yes,Low
GLO028,29.94502328034888,78.02776891856583,5098,4.436027900055637,49,-9.895920589427687,1389,35,No,No,Rock-Cored,Yes,Low
GLO029,29.43025986053625,78.50862271818788,4834,1.5950205427744624,21,4.2822619374473465,822,30,No,No,Ice-Cored,No,Very High
GLO030,29.349092023812275,79.47439942284512,5008,3.96580862347421,35,-9.656314354300752,938,39,Yes,Yes,Rock-Cored,No,Low
GLO031,31.434110616286198,79.94560356173,5119,3.9724566697233854,35,3.753142729901693,1036,47,Yes,No,Ice-Cored,No,Medium
GLO032,29.696664791515825,78.99008884244726,4764,3.5386783583577426,43,-7.3711516255752,1283,45,Yes,Yes,Rock-Cored,Yes,Low
GLO033,29.090613457440917,80.55507437864286,4817,0.9703488800644804,10,1.8161694931030787,1389,38,No,Yes,Rock-Cored,Yes,Very High
GLO034,30.022489896382982,79.90880125501211,4959,0.9422736329829746,23,-0.7595651628454476,1510,33,No,No,Rock-Cored,Yes,Low
GLO035,29.941997242373706,80.71491764142709,4983,3.958918934685394,47,3.1066300731944825,1208,24,Yes,Yes,Ice-Cored,No,Low
GLO036,31.03109440662604,79.50173486533622,4817,4.395745867121093,49,-8.348929044790477,1279,47,Yes,Yes,Ice-Cored,Yes,Very High
GLO037,30.778199224934465,80.72189135362375,4939,3.595908915399324,23,-3.454161933615455,1318,44,Yes,Yes,Ice-Cored,Yes,Low
GLO038,31.246136894718905,80.2773162347914,4856,2.954436020429528,26,4.597612709231969,1299,37,Yes,No,Rock-Cored,Yes,Low
GLO039,29.05803133044133,79.92849178892166,5175,0.9763376321775854,26,-2.353840743812815,1429,27,No,No,Ice-Cored,Yes,High
GLO040,31.24614756682033,78.86582811228324,4923,1.0892672325042083,36,1.357233329427897,983,33,Yes,No,Rock-Cored,Yes,High
GLO041,30.110081458133227,79.84619783678106,5151,2.6268708967649435,48,-5.074662602899172,1204,25,Yes,Yes,Ice-Cored,No,Low
GLO042,31.754018338279465,79.12269606838343,4834,1.8671926335303752,41,-1.4269052447752577,1128,39,Yes,No,Rock-Cored,Yes,Medium
GLO043,31.55638580626218,79.6696283446502,4744,3.831757651896714,14,4.860083651685077,1179,22,No,No,Rock-Cored,No,High
GLO044,29.850384447218413,78.47456317624263,5158,1.7856441892449872,28,-9.955240189148393,922,44,No,Yes,Ice-Cored,No,Low
GLO045,30.11595982933974,80.28022067558386,4768,1.1300061680908826,46,4.926133956400022,1438,39,No,No,Rock-Cored,Yes,High
GLO046,31.72174252682335,78.09123870723116,5116,4.902302049014046,48,-0.176933033131668,1267,36,No,No,Ice-Cored,No,Medium
GLO047,30.074962673969655,79.52795958283967,5074,0.7815594521634035,29,1.279772519890157,1343,42,Yes,No,Rock-Cored,No,Medium
GLO048,31.2353822850038,79.42989991274081,4700,4.248794769263235,34,-0.0888703568710749,1529,32,Yes,No,Rock-Cored,No,Low
GLO049,31.65480074030558,78.59542983804542,4815,4.3195772574736,24,-9.376447356767882,1134,45,No,No,Rock-Cored,No,Medium
GLO050,29.813787730119003,79.42059785007508,5015,2.194262577559798,20,-3.8908886067514654,1537,21,Yes,Yes,Ice-Cored,No,High
GLO051,30.21077849955604,79.98799062749333,4968,2.668250660603852,21,-3.1774238306527227,1350,27,Yes,Yes,Rock-Cored,No,High
